data,selic,selic_lag1,selic_lag2,pib_hiato,pib_hiato_lag1,inflacao_hiato
2004-01-01,16.5,17.5,19.0,-1.0972884934451033,-2.276393751082173,1.4034999999999993
2004-02-01,16.5,16.5,17.5,-0.3134686673647358,-1.0972884934451033,1.1466666666666665
2004-03-01,16.5,16.5,16.5,0.8517895324898328,-0.3134686673647358,0.9204347826086954
2004-04-01,16.25,16.5,16.5,1.0574102493540405,0.8517895324898328,1.0185000000000004
2004-05-01,16.0,16.25,16.5,0.30817981616602097,1.0574102493540405,1.1790476190476191
2004-06-01,16.0,16.0,16.25,-0.5298125640570417,0.30817981616602097,1.5204761904761899
2004-07-01,16.0,16.0,16.0,-1.2611728444193226,-0.5298125640570417,1.6845454545454546
2004-08-01,16.0,16.0,16.0,-1.637118099374213,-1.2611728444193226,1.6872727272727275
2004-09-01,16.0,16.0,16.0,-2.221403652711862,-1.637118099374213,1.7076190476190485
2004-10-01,16.25,16.0,16.0,-3.053478620368544,-2.221403652711862,1.697
2004-11-01,16.75,16.25,16.0,-3.210591761140835,-3.053478620368544,1.6568421052631583
2004-12-01,17.25,16.75,16.25,-3.1586087919604933,-3.210591761140835,1.4333333333333327
2005-01-01,17.75,17.25,16.75,-3.5833818969636777,-3.1586087919604933,1.1933333333333334
2005-02-01,18.25,17.75,17.25,-3.6344964038795946,-3.5833818969636777,1.038333333333333
2005-03-01,18.75,18.25,17.75,-4.129319232130446,-3.6344964038795946,0.956818181818182
2005-04-01,19.25,18.75,18.25,-4.186395904716789,-4.129319232130446,0.9790000000000001
2005-05-01,19.5,19.25,18.75,-3.425410651067462,-4.186395904716789,0.9090476190476195
2005-06-01,19.75,19.5,19.25,-2.569902690762993,-3.425410651067462,0.6022727272727275
2005-07-01,19.75,19.75,19.5,-1.964717434225427,-2.569902690762993,0.5066666666666668
2005-08-01,19.75,19.75,19.75,-1.189766730252828,-1.964717434225427,0.43304347826086964
2005-09-01,19.75,19.75,19.75,-0.6289311944836062,-1.189766730252828,0.28904761904761855
2005-10-01,19.5,19.75,19.75,0.15793633990361933,-0.6289311944836062,0.18849999999999945
2005-11-01,19.0,19.5,19.75,0.9496375223883691,0.15793633990361933,0.13399999999999945
2005-12-01,18.5,19.0,19.5,1.2041785768321045,0.9496375223883691,0.018636363636363562
2006-01-01,18.0,18.5,19.0,1.3492042548336247,1.2041785768321045,0.06863636363636427
